index,Location,Metrics,Model Category,Model,y
0,S1,MSE,General,CNN,1106.5797108802444
1,S1,MSE,General,RNN,44.88380304564021
2,S1,MSE,General,GRU,979.032438727224
3,S1,MSE,General,LSTM,899.3017475598115
4,S1,MSE,MA,CNN,40.24799701113074
5,S1,MSE,MA,RNN,55.25131030979963
6,S1,MSE,MA,GRU,23.18725089555981
7,S1,MSE,MA,LSTM,26.727125999012728
8,S1,MSE,DReg,CNN,121.83246446901678
9,S1,MSE,DReg,RNN,57.29673059167473
10,S1,MSE,DReg,GRU,49.00457380574949
11,S1,MSE,DReg,LSTM,28.11640396886957
12,S1,MSE,MA DReg,CNN,74.99806746181586
13,S1,MSE,MA DReg,RNN,70.88850364939023
14,S1,MSE,MA DReg,GRU,65.09553265572747
15,S1,MSE,MA DReg,LSTM,45.25371360151751
16,S1,MSE,HY,CNN LSTM,211.75560389358668
17,S1,MSE,HY,LSTM RNN GRU,53.72268672043625
18,S1,MSE,HY,CNN RNN GRU,28.70379828397616
19,S1,MSE,HY,CNN GRU,261.50688457385434
20,S1,MSE,HY,RNN GRU,205.1170090831185
21,S1,MSE,HY,RNN LSTM,231.13179514142536
22,S1,MSE,MA HY,CNN LSTM,233.10532972263607
23,S1,MSE,MA HY,LSTM RNN GRU,48.455060806652966
24,S1,MSE,MA HY,CNN RNN GRU,28.88951554360113
25,S1,MSE,MA HY,CNN GRU,236.92853459976476
26,S1,MSE,MA HY,RNN GRU,246.2473890666153
27,S1,MSE,MA HY,RNN LSTM,232.78192605156963
28,S2,MSE,General,CNN,12.801126225848318
29,S2,MSE,General,RNN,61.08152317731518
30,S2,MSE,General,GRU,947.2915675342252
31,S2,MSE,General,LSTM,955.3259253055209
32,S2,MSE,MA,CNN,23.01459878322597
33,S2,MSE,MA,RNN,56.50525288556744
34,S2,MSE,MA,GRU,21.500425437847717
35,S2,MSE,MA,LSTM,19.46994948369159
36,S2,MSE,DReg,CNN,71.59045049992089
37,S2,MSE,DReg,RNN,64.34696760897071
38,S2,MSE,DReg,GRU,52.85405716449972
39,S2,MSE,DReg,LSTM,8.452231243953143
40,S2,MSE,MA DReg,CNN,167.4991288158095
41,S2,MSE,MA DReg,RNN,63.51195451554791
42,S2,MSE,MA DReg,GRU,48.549733400312974
43,S2,MSE,MA DReg,LSTM,48.730338726675775
44,S2,MSE,HY,CNN LSTM,205.3903774963557
45,S2,MSE,HY,LSTM RNN GRU,57.592393605591546
46,S2,MSE,HY,CNN RNN GRU,29.98188713432555
47,S2,MSE,HY,CNN GRU,245.55332929373904
48,S2,MSE,HY,RNN GRU,226.16773723574164
49,S2,MSE,HY,RNN LSTM,202.219079781156
50,S2,MSE,MA HY,CNN LSTM,231.7870962593061
51,S2,MSE,MA HY,LSTM RNN GRU,52.046309467740485
52,S2,MSE,MA HY,CNN RNN GRU,30.277645371959213
53,S2,MSE,MA HY,CNN GRU,232.55453204170564
54,S2,MSE,MA HY,RNN GRU,222.596587622579
55,S2,MSE,MA HY,RNN LSTM,220.07485175247768
56,S3,MSE,General,CNN,1092.1768218211105
57,S3,MSE,General,RNN,50.74422347644044
58,S3,MSE,General,GRU,938.0594709183072
59,S3,MSE,General,LSTM,880.178498223365
60,S3,MSE,MA,CNN,37.709018585030336
61,S3,MSE,MA,RNN,55.584293870745
62,S3,MSE,MA,GRU,23.23665906249806
63,S3,MSE,MA,LSTM,7.373845426238684
